Date,Open,High,Low,Close,Volume,OpenInterest
2018-12-31,2498.25,2515.75,2485.5,2508.0,2671246,0
2019-01-02,2510.75,2524.0,2455.0,2513.75,2683349,0
2019-01-03,2485.0,2496.25,2446.0,2450.5,2702026,0
2019-01-04,2454.5,2542.0,2441.25,2534.0,2634252,0
2019-01-07,2540.0,2570.25,2526.0,2553.25,2643289,0
2019-01-08,2556.0,2584.0,2550.25,2575.25,2596886,0
2019-01-09,2572.25,2599.5,2571.25,2585.25,2600873,0
2019-01-10,2582.75,2602.25,2563.25,2596.75,2580411,0
2019-01-11,2596.75,2600.5,2579.75,2597.75,2604676,0
2019-01-14,2591.25,2594.75,2570.0,2583.25,2612044,0
2019-01-15,2584.25,2616.5,2582.75,2608.25,2596574,0
2019-01-16,2608.5,2629.0,2605.25,2616.0,2594020,0
2019-01-17,2617.25,2648.25,2599.25,2638.0,2598337,0
2019-01-18,2639.5,2680.5,2635.5,2674.25,2596181,0
2019-01-22,2672.0,2676.25,2619.25,2634.75,2608729,0
2019-01-23,2633.5,2656.5,2615.25,2641.0,2627318,0
2019-01-24,2637.75,2650.25,2628.75,2636.75,2621690,0
2019-01-25,2639.0,2675.25,2637.25,2666.25,2595674,0
2019-01-28,2662.75,2666.25,2625.0,2644.75,2605425,0
2019-01-29,2643.0,2652.75,2631.25,2643.0,2618479,0
2019-01-30,2651.25,2692.5,2639.0,2685.25,2606116,0
2019-01-31,2686.25,2715.75,2678.5,2707.25,2555080,0
2019-02-01,2710.5,2718.75,2698.25,2707.0,2548101,0
2019-02-04,2702.0,2727.75,2699.75,2724.0,2550279,0
2019-02-05,2722.25,2740.5,2719.0,2733.75,2560529,0
2019-02-06,2733.5,2739.25,2725.0,2732.25,2553848,0
2019-02-07,2729.75,2732.0,2688.25,2706.75,2537472,0
2019-02-08,2704.75,2711.75,2683.5,2709.0,2525951,0
2019-02-11,2713.5,2724.25,2703.25,2711.0,2522343,0
2019-02-12,2709.75,2750.75,2708.25,2747.5,2539160,0
2019-02-13,2746.25,2764.75,2745.5,2752.25,2527128,0
2019-02-14,2752.0,2765.75,2733.0,2746.25,2528174,0
2019-02-15,2744.0,2781.25,2731.75,2779.75,2510982,0
2019-02-19,2779.75,2790.25,2768.75,2781.5,2512167,0
2019-02-20,2780.5,2793.5,2776.0,2789.75,2489011,0
2019-02-21,2789.75,2800.75,2767.0,2777.0,2512525,0
2019-02-22,2776.25,2798.25,2773.25,2794.0,2504698,0
2019-02-25,2802.25,2816.75,2797.25,2799.75,2536237,0
2019-02-26,2798.5,2806.25,2786.0,2794.25,2563644,0
2019-02-27,2790.75,2800.0,2777.75,2797.75,2550763,0
